clip_key,corpus,clip_idx,video_id,category,window_idx,start_s,end_s,scene_spatial_gap,agent_action_gap,control_gap,mean_visual_gap,peak_visual_gap,dominant_type,dominance_margin,visual_minus_control,raw_trs,route
inbench_clip_07_09dQut5GJ68_000049_000059,inbench,7.0,09dQut5GJ68_000049_000059,Travel,1,4.47,7.45,0.09315061219394077,0.022204464243920474,0.05016676075650284,0.09315061219394077,0.0989069955489782,scene_spatial,0.0709461479500203,0.04298385143743794,2,static_ad_ok_low_gap
inbench_clip_07_09dQut5GJ68_000049_000059,inbench,7.0,09dQut5GJ68_000049_000059,Travel,2,7.45,10.43,0.10306138554092603,0.0225332940695136,0.08975782813079086,0.10306138554092603,0.11571570437265688,scene_spatial,0.08052809147141243,0.01330355741013517,2,static_ad_ok_low_gap
inbench_clip_07_09dQut5GJ68_000049_000059,inbench,7.0,09dQut5GJ68_000049_000059,Travel,3,10.43,13.41,0.2581862479564151,0.5935036540463836,0.22812766058369965,0.6372293867684009,1.1627042797837404,agent_action,0.3353174060899685,0.36537599346268396,2,action_state_or_agent_cue
inbench_clip_07_09dQut5GJ68_000049_000059,inbench,7.0,09dQut5GJ68_000049_000059,Travel,4,13.41,16.39,0.14479988026577983,0.028815183208393214,0.6329678872984295,0.14479988026577983,0.251041426464363,scene_spatial,0.11598469705738662,-0.4881680070326496,2,static_ad_ok_low_gap
inbench_clip_08_hOirknJr3os_000001_000011,inbench,8.0,hOirknJr3os_000001_000011,Travel,0,0.0,3.278,0.30309043655191686,0.34211569897026484,0.05148203501605669,0.34211569897026484,0.3442350241605655,agent_action,0.03902526241834797,0.29063366395420814,2,action_state_or_agent_cue
inbench_clip_08_hOirknJr3os_000001_000011,inbench,8.0,hOirknJr3os_000001_000011,Travel,1,3.278,6.556,0.19549549603139604,0.213853448844945,0.141484448351474,0.22010137211058156,0.3030011007389126,agent_action,0.01835795281354896,0.072369000493471,2,static_ad_ok_low_gap
inbench_clip_08_hOirknJr3os_000001_000011,inbench,8.0,hOirknJr3os_000001_000011,Travel,2,6.556,9.834,0.13560201079025436,0.05982579422832218,0.12168461271359743,0.13560201079025436,0.14384918778122835,scene_spatial,0.07577621656193217,0.013917398076656928,2,static_ad_ok_low_gap
inbench_clip_08_hOirknJr3os_000001_000011,inbench,8.0,hOirknJr3os_000001_000011,Travel,3,9.834,13.112,0.050006744433521044,0.035874309392774084,0.057131414877728215,0.050006744433521044,0.054772481562927244,scene_spatial,0.01413243504074696,-0.007124670444207171,2,static_ad_ok_low_gap
inbench_clip_08_hOirknJr3os_000001_000011,inbench,8.0,hOirknJr3os_000001_000011,Travel,4,13.112,16.39,0.07520854858466514,0.044199748384512016,0.41105754945968465,0.07520854858466514,0.10331963832267799,scene_spatial,0.03100880020015312,-0.3358490008750195,2,static_ad_ok_low_gap
inbench_clip_09_TF4q9y0rJoc_000000_000010,inbench,9.0,TF4q9y0rJoc_000000_000010,Sports,0,0.0,4.47,0.3119839437361382,0.09663497934906247,0.03335417173577641,0.3119839437361382,0.4698317760159151,scene_spatial,0.21534896438707574,0.27862977200036176,3,layout_replay_or_scene_cue
